month,division,line,num_passengers,additional platform time,additional train time,total_apt,total_att,over_five_mins
2023-01-01,A DIVISION,6,9576251.8,1.212630987,0.5517773675,11660103.107,5314993.412,954082.4
2023-09-01,B DIVISION,S Fkln,298942.2,0.548562234,0.104945679,165058.09333,32498.45,13410
2023-11-01,A DIVISION,3,5237452,0.998525408,0.3653914095,5228381.399,1940697.5958,601430.8
2023-10-01,A DIVISION,S 42nd,860871,0.4557601085,-0.1076602425,384689.027,-92027.623,7754.1
2023-07-01,A DIVISION,4,7282320.6,0.982471428,0.352484751,7140659.891,2557501.366,893242
2023-05-01,A DIVISION,6,11084305.8,1.131059619,0.662875645,12571424.287,7409723.243,1355881.1
2023-06-01,Systemwide,Systemwide,138153752.6,1.285491969,0.455127761,177595539.4,62877608.09,20568033.4
2023-02-01,A DIVISION,5,4743399.4,1.133997853,0.2705605375,5317888.922,1167368.837,565857.5
2023-06-01,B DIVISION,A,8062627.4,1.280698527,0.695089775,10280795.554,5500578.943,1465797
2023-05-01,B DIVISION,B,5105284.3,1.9516060575,1.038100328,9915705.066,5368676.793,1237543.5
2023-05-01,A DIVISION,S 42nd,750723.6,0.4694645355,-0.1045660585,344704.9621,-78530.70384,8187
2023-12-01,B DIVISION,A,7847768.9,1.3706809645,0.7704214545,10651793.044,5919687.139,1548604.6
2023-09-01,B DIVISION,JZ,2341028.7,1.424970035,0.416591198,3337534.186,971751.1392,403417.5
2023-08-01,B DIVISION,A,8155926.9,1.413583567,0.948099643,11459576.938,7648549.961,1625678.6
2023-02-01,Systemwide,Systemwide,109856947.5,1.198179441,0.444724208,131628336,48856043.97,15925002.2
2023-05-01,B DIVISION,S Fkln,393602,0.4911248975,0.0603133305,193301.32033,23734.92134,17291.5
